ОСЦ;Архив;Индекс операции;Название операции;Тип ШК;КБП;вид/ площадка операции;Единица измерения;Норматив в секундах;Тип операции
ОСЦ Новосибирск;Архив №1 Новосибирск;SZ 028 000 00 00;Извлечение и просмотр документов с диска;-;00;Запросы;операция;0;RUCH
ОСЦ Самара;Вне подразделений;SZ 028 000 00 00;Извлечение и просмотр документов с диска;-;00;Запросы;операция;1200;RUCH
ОСЦ Новосибирск;Архив №3 Екатеринбург;SZ 028 000 00 00;Извлечение и просмотр документов с диска;-;00;Запросы;операция;0;RUCH
ОСЦ Самара;Архив №1 Самара;SZ 028 000 00 00;Извлечение и просмотр документов с диска;-;00;Запросы;операция;0;RUCH
ОСЦ Воронеж;Вне подразделений;SZ 031 000 00 00;Обработка запросов в ЕСО (выемка оригиналов документов УБ| перерегистрация досье/досыл| 2-я линия СПАС);-;00;Запросы;обращение;433;RUCH
ОСЦ Воронеж;Архив №1 Воронеж;SZ 031 000 00 00;Обработка запросов в ЕСО (выемка оригиналов документов УБ| перерегистрация досье/досыл| 2-я линия СПАС);-;00;Запросы;обращение;433;RUCH
ОСЦ Воронеж;Архив №3 Калининград;SZ 031 000 00 00;Обработка запросов в ЕСО (выемка оригиналов документов УБ| перерегистрация досье/досыл| 2-я линия СПАС);-;00;Запросы;обращение;433;RUCH
ОСЦ Воронеж;Архив №4 Санкт-Петербург;SZ 031 000 00 00;Обработка запросов в ЕСО (выемка оригиналов документов УБ| перерегистрация досье/досыл| 2-я линия СПАС);-;00;Запросы;обращение;433;RUCH
ОСЦ Москва;Вне подразделений;SZ 031 000 00 00;Обработка запросов в ЕСО (выемка оригиналов документов УБ| перерегистрация досье/досыл| 2-я линия СПАС);-;00;Запросы;обращение;433;RUCH
ОСЦ Москва;Архив №1 Томилино;SZ 031 000 00 00;Обработка запросов в ЕСО (выемка оригиналов документов УБ| перерегистрация досье/досыл| 2-я линия СПАС);-;00;Запросы;обращение;433;RUCH
ОСЦ Нижний Новгород;Вне подразделений;SZ 031 000 00 00;Обработка запросов в ЕСО (выемка оригиналов документов УБ| перерегистрация досье/досыл| 2-я линия СПАС);-;00;Запросы;обращение;433;RUCH
ОСЦ Нижний Новгород;Архив №1 Нижний Новгород;SZ 031 000 00 00;Обработка запросов в ЕСО (выемка оригиналов документов УБ| перерегистрация досье/досыл| 2-я линия СПАС);-;00;Запросы;обращение;433;RUCH
